
Total rows (correct): 419
('序号', '位置(上/下)', '焊脚尺寸hf(mm)', '焊缝长度(mm)', '备注', '零件1', '零件2', '构件号', '备注', None)
(344, 'Below', 12, 139, None, 'CO010', 'p194', 'CO010', None, None)
(345, 'Above', None, 324, None, 'p195', 'p194', 'CO010', 'CJP', None)
(346, 'Below', 12, 324, None, 'p195', 'p194', 'CO010', None, None)
(347, 'Above', 12, 110, None, 'CO010', 'p194', 'CO010', None, None)
(348, 'Below', 12, 110, None, 'CO010', 'p194', 'CO010', None, None)
(349, 'Above', 12, 139, None, 'CO010', 'p197', 'CO010', None, None)
(350, 'Below', 12, 139, None, 'CO010', 'p197', 'CO010', None, None)
(351, 'Above', None, 324, None, 'p195', 'p197', 'CO010', 'CJP', None)
(352, 'Below', 12, 324, None, 'p195', 'p197', 'CO010', None, None)
(353, 'Above', 12, 110, None, 'CO010', 'p197', 'CO010', None, None)
(354, 'Below', 12, 110, None, 'CO010', 'p197', 'CO010', None, None)
(355, 'Above', None, 139, None, 'CO010', 'p184', 'CO010', 'CJP', None)
